CODGEO;Part_actif_salaries;Population;Rurale
33213;85,6109906;3129;0
33214;76,89655172;3129;1
33215;67,94871795;186;1
33216;73,33333333;116;1
33218;83,00395257;1294;1
33219;87,06467662;1867;1
33220;88,98809524;955;1
33221;79,02439024;1042;1
33222;81,53846154;612;0
33223;64,51612903;161;1
33224;78,04878049;108;1
33225;81,86528497;1505;1
33226;86,61887694;1992;0
33227;86,74546222;6168;0
33228;79,42238267;640;1
33229;85,31791908;4960;0
33230;80,1369863;429;1
33231;80;230;1
33232;76,92307692;44;1
33233;81,20689655;1703;1
33234;81,36792453;3195;0
33235;77,27272727;179;1
33236;73,10623039;6304;0
33237;82,48847926;547;1
33238;89,47075209;8267;0
33239;80,43478261;400;1
33240;85,2520224;4856;0
33241;89,09952607;585;0
33242;62,08530806;543;1
33243;88,85405782;21764;0
33244;87,17948718;243;1
33245;83,68794326;676;0
33246;69,11764706;155;1
33247;68,42105263;113;1
33248;84,47606727;1858;1
33249;93,33781965;21340;0
33250;71,75572519;310;1
33251;83,24324324;540;1
33252;80;442;1
33253;85,86666667;939;0
33254;71,31147541;335;1
33255;92;209;1
33256;92,47588424;3326;1
33257;74,56140351;300;1
33258;74,54545455;237;1
33259;81,26520681;999;1
33260;87,69230769;559;1
33261;76,54109589;1332;1
33262;90,45031056;2884;0
33263;83,75;156;1
33264;79,36507937;869;1
33266;78,66108787;596;1
33267;67,04225352;995;1
33268;87,18411552;1344;1
33269;68;400;1
33270;83,78378378;96;1
33271;75,40983607;171;1
33272;87,91208791;864;1
33273;91,5234375;5581;0
33274;88,72767857;2017;1
33275;66,66666667;105;1
33276;64,1025641;120;1
33277;64,76190476;258;1
33278;68,75;225;1
33279;84,18803419;547;1
33280;74,50980392;402;0
33281;92,18625479;61990;0
33282;60;277;1
33283;70,58823529;179;1
33284;87,26491134;4625;0
33285;74,62686567;343;1
33287;78,17258883;570;1
33288;68,18181818;276;1
33289;79,37915743;1431;1
33290;76,66174298;1585;1
33291;83,07692308;145;1
33292;67,9245283;110;1
33293;87,89808917;2208;0
33294;80,5;508;1
33295;74,41860465;103;1
33296;77,11442786;1009;1
33297;86,98630137;1367;1
33298;76,32241814;928;1
33299;64,13793103;358;1
33300;79,91631799;631;1
33301;73,21428571;501;1
33302;80,36809816;403;1
33303;79,84084881;908;1
33304;63,63636364;122;1
33305;85,61643836;349;1
33306;71,30434783;291;1
33307;80,65395095;1016;1
33308;80,64516129;226;1
33309;74,70588235;405;1
33310;69,3877551;126;1
33311;86,01036269;989;0
33312;91,76510294;6620;0
33314;88,57589984;5177;0
33315;84,9009901;1194;0
33316;62,23958333;977;1
33317;80,99173554;875;1
33318;91,42536895;56151;0
33319;69,27710843;466;1
33320;83,54978355;551;1
33321;87,75510204;1397;1
33322;88,64089279;5375;0
33323;81,18081181;610;0
33324;80,97731239;3641;0
33325;82,1529745;914;1
33326;64,47368421;192;1
33327;87,44131455;2266;0
33328;82,83378747;850;0
33329;78,94736842;230;1
33330;87,84722222;2527;0
33331;72,99270073;356;1
33332;85,45454545;726;0
33333;81,60714286;1504;1
33334;82,67148014;1999;0
33335;88,38709677;340;1
33336;84,82972136;1017;1
33337;82;2025;1
33338;74,66666667;163;1
33339;87,64940239;1288;1
33341;84,46601942;1892;1
33342;75,11627907;926;1
33343;87,76223776;721;1
33344;73,51598174;608;1
33345;75,96153846;291;1
33346;68,8;309;1
33347;79,51807229;247;1
33348;74,40758294;1164;1
33349;83,56741573;1768;0
33350;79,89821883;1037;1
33351;73,37807606;1197;1
33352;85,95505618;4193;0
33353;55,05617978;190;1
33354;61,42857143;179;1
33355;86,02150538;1441;1
33356;75,6097561;322;1
33357;86,01583113;842;1
33358;76,27118644;277;1
33359;60,22727273;217;1
33360;70,1754386;312;1
33361;68,0952381;504;1
33362;89,43661972;1181;1
33363;86,56156156;3026;1
33364;77,84431138;363;1
33365;71,96261682;252;1
33366;88,29372118;7235;0
33367;60,11904762;389;1
33369;73,30827068;687;1
33370;75,56561086;564;1
33371;86,66666667;285;0
33372;61,53846154;77;1
33373;84,17266187;435;0
33374;72,54901961;687;1
33375;85,48387097;283;1
33376;89,72850679;4985;0
33377;45,16129032;93;1
33378;76,32653061;1381;0
33379;84,74576271;297;1
33380;78,76712329;405;1
33381;87,61061947;2535;0
33382;77,77777778;1774;1
33383;71,69811321;323;1
33384;76,31578947;515;1
33385;79,3814433;578;1
33386;71,62162162;192;1
33387;88,00959233;1070;1
33388;81,84931507;718;1
33389;81,8018018;3098;0
33390;78,57142857;350;1
33391;81,4159292;249;1
33392;76,94610778;842;1
33393;87,7216021;4080;0
33394;76,83039852;2345;1
33395;85,88873813;1795;1
33396;80,81395349;355;1
33397;88,75147232;4189;0
33398;76,59574468;119;1
33399;68,46846847;256;1
33400;56,25;338;1
33401;62,5;129;1
33402;82,05128205;2785;0
33403;50,84745763;115;1
33404;45,83333333;187;1
33405;84,55882353;396;1
33406;77,90697674;389;1
33407;81,92771084;575;1
33408;70,68965517;250;1
33409;57,57575758;75;1
33411;67,14285714;155;1
33412;84,03755869;1086;1
33413;86,34311512;1982;1
33414;80,76923077;339;1
33415;85,19269777;1219;1
33416;80,75471698;791;1
33417;86,64072633;1781;1
33418;71,42857143;305;1
33419;51,72413793;92;1
33420;75,53191489;209;1
33421;72,32704403;401;1
33422;88,9588581;5214;0
33423;92,28723404;796;1
33424;87,07015131;3364;1
33425;89,58837772;1057;1
33426;76,07361963;347;1
33427;62,92134831;219;1
33428;59,25925926;71;1
33429;90;247;1
33431;88,18181818;242;1
33432;88,46153846;129;1
33433;89,63474827;7089;0
33434;91,66666667;1863;0
33435;83,11688312;1541;0
33436;86,87943262;814;1
33437;76,34920635;1754;0
33438;89,53974895;1277;0
33439;86,39618138;1178;1
33440;57,57575758;170;1
33441;83,93939394;856;0
33442;86,33093525;386;1
33443;50;122;1
33444;77,65363128;471;1
33445;82,12927757;589;1
33446;52,80898876;228;1
33447;89,09574468;2107;0
33448;90,87261785;2277;1
33449;92,14645309;25590;0
33450;84,50704225;216;1
33451;83,53909465;592;1
33452;89,74358974;498;1
33453;67,07317073;221;1
33454;86,43006263;1082;1
33456;61,4379085;420;1
33457;89,09090909;393;1
33458;80,62678063;860;1
33459;64,95726496;276;1
33460;77,01612903;628;1
33461;73,91304348;424;1
33462;87,07865169;395;0
33463;82,27272727;1088;0
33464;73,91304348;271;1
33465;84,49367089;814;0
33466;81,40096618;958;1
33467;70,90909091;276;1
33468;67,39130435;438;1
33470;82,26744186;755;1
33471;89,3877551;1188;1
33472;90,90909091;361;1
33473;81,30718954;2080;1
33474;85,7712766;1638;1
33475;84,12698413;353;1
33476;77,21893491;767;1
33477;85,01628664;761;0
33478;89,86058302;2376;0
33479;70,11494253;193;1
33480;81,72804533;1572;1
33481;61,53846154;227;1
33482;55,26315789;228;1
33483;85,30079455;3914;0
33484;86,65158371;1397;1
33485;78,93081761;1635;1
33486;83,33333333;318;1
33487;90,24943311;1056;0
33488;71,25;369;1
33489;71,42857143;321;1
33490;78,2234957;1365;1
33491;62,5;370;1
33492;89,6049896;1531;1
33493;72,19251337;471;1
33494;89,43089431;574;1
33495;83,16221766;1133;1
33496;85,69739953;1928;0
33498;86,01598174;4489;0
33499;72,3880597;370;1
33500;76,82119205;378;1
33501;86,34538153;1663;1
33502;76,41509434;328;1
33503;94,83870968;339;1
33504;79,74137931;587;1
33505;83,56713427;1216;1
33506;77,10843373;1793;1
33507;75,67567568;246;1
33508;74,75728155;493;1
33509;86,4321608;476;1
33510;70,49180328;170;1
33511;68,93203883;255;1
33512;64,86486486;238;1
33513;76,31578947;105;1
33514;71,51442308;2729;0
33515;72,39583333;424;1
33516;70,27027027;159;1
33517;88,79003559;1340;1
33518;82,45614035;974;0
33519;89,50162194;7884;0
33520;57,14285714;263;1
