"CODGEO","Part_actif_salaries","Population","Rurale","Prixm2Moyen","Revenu_median","Retraite","Densité_médicale_BV","Score_équipement_santé","Nb_mineurs","Nb_etudiants","nb_entreprises","Score_urbanité"
"33021",79.02621723,663,"1",1358.5,19364.2857142857,276.706435160187,0.140797854508884,4,758,39,45,0
"33022",88.77419355,1752,"1",2298.15384615385,21184.2857142857,406.399105034367,0.0898424404961448,4,2060,151,103,0
"33023",88.31168831,904,"1",2104.83333333333,22956.6666666667,159,0.144485417365069,4,1098,62,56,0
"33024",74.6835443,173,"1",2206,19460,50.5172413793103,0.126047603084143,4,192,6,12,0
"33025",66,245,"1",1666.5,19032.7586206897,64.1121495327103,0.140797854508884,4,299,19,16,0
"33026",86.79245283,318,"1",1196,20168.6666666667,92.1556886227544,0.140797854508884,4,379,12,12,0
"33027",56.81818182,211,"1",1039.8,17432.5,80,0.126047603084143,4,239,7,11,0
"33028",87.43315508,867,"1",1977.5,21202.380952381,179.844155844156,0.0811263828360711,3,1070,58,34,0
"33029",89.80446927,3241,"0",2197.8064516129,22024,801,0.107609788803218,4,3927,244,192,12.5
"33030",86.20218579,1949,"1",1542.12,19805.6666666667,408.9484786623,0.140797854508884,4,2317,104,79,0
"33031",77.41935484,87,"1",1019,22576.1904761905,12.875,0.126047603084143,4,98,2,5,0
"33032",94.27198817,6972,"0",2381.86666666667,18666.1538461538,1626.0521210985,1,1,8290,505,316,87.5
"33033",85.01872659,692,"0",2346.77777777778,23157.7777777778,165.449494949495,1,1,816,52,49,12.5
"33034",85.06493506,420,"1",1315.33333333333,18497.3333333333,116.494935125389,0.141803553469661,3,498,27,14,0
"33035",85.36585366,748,"1",933,19851.7948717949,225,0.138451223600402,4,878,49,19,0
"33036",84.53350031,4352,"0",1345.67741935484,18636,1487.97997836677,0.137445524639625,4,4961,228,383,12.5
"33037",91.02132435,2039,"0",1608.57142857143,22118,477.305981348614,0.144485417365069,4,2450,149,121,25
"33038",75,879,"1",965.666666666667,18678.6666666667,273.775843307943,0.135434126718069,4,1008,49,40,0
"33039",91.25321985,22538,"0",2773.96949152542,20253.3333333333,5341.64233027438,1,1,26065,1525,1477,87.5
"33040",86.49425287,914,"0",1769.22222222222,19959,266.077529566749,0.124371438149514,4,1045,57,58,12.5
"33042",86.37295082,2757,"0",1950.80434782609,20896.6666666667,854.901630205502,0.107609788803218,4,3178,137,169,12.5
"33043",83.33333333,143,"1",818,19354.5,44.1903656374693,0.140797854508884,4,171,7,5,0
"33044",73.4939759,202,"1",1944.5,19360,50,0.11733154542407,4,234,13,12,0
"33045",69.71830986,341,"1",1103,19495.6349206349,66.3663663663664,0.11733154542407,4,425,29,15,0
"33046",86.70076726,1075,"1",1213,19328.2608695652,345.908691834943,0.137445524639625,4,1268,76,54,0
"33047",80.62913907,1519,"1",1272.13333333333,19042.1739130435,456.353071404094,0.127723768018773,4,1768,85,83,0
"33048",72.13114754,166,"1",2466.5,20863.3333333333,52.0506329113924,0.140797854508884,4,198,16,7,0
"33049",87.1886121,1786,"1",1980.125,21952,466.075697211156,1,1,2099,128,104,0
"33050",75.83892617,416,"1",1459.83333333333,19168.0952380952,99,0.140797854508884,4,502,26,18,0
"33051",90.03079292,6954,"0",2272.7311827957,21193,2092.08416069711,0.121689574254107,4,8318,440,438,37.5
"33052",86.56716418,816,"0",1651.90909090909,21104,215,0.137110291652699,4,960,46,39,50
"33053",75.34246575,181,"1",1350.13470833333,20149.375,64,0.137445524639625,4,203,12,6,0
"33054",84.84848485,221,"1",1075,21226.6666666667,67.4655631864869,0.126047603084143,4,264,18,8,0
"33055",68.31683168,239,"1",1507,20842,54.1538461538461,0.135434126718069,4,280,15,14,0
"33056",92.00382287,13902,"0",2370.61739130435,22356.6666666667,2857.8055613078,1,1,16774,1486,804,87.5
"33057",71.59533074,711,"1",1191.125,18271.5,205.681190929657,0.155548105933624,3,829,35,31,0
"33058",90.0476758,4668,"0",1201.08510638298,18701.3333333333,1215.59392163427,0.127723768018773,4,5539,287,434,25
"33059",91.34615385,249,"1",1903,20426.1904761905,40.6328177722364,0.0811263828360711,3,306,16,9,0
"33060",78.53403141,436,"1",1833,20580.5555555556,83.4837456799308,0.140797854508884,4,502,29,23,0
"33061",87.20238095,734,"0",1602,23795,194.759825327511,1,1,868,59,33,87.5
"33062",88.85017422,623,"1",1637.22222222222,21966.6666666667,145,0.137110291652699,4,741,54,21,0
"33063",87.41139988,215374,"0",3251.08311502739,21096.6666666667,37860.9622286746,1,1,241296,30147,20941,87.5
"33064",59.25925926,55,"1",1050,19081.870492698,0,0.11733154542407,4,67,3,1,0
"33065",85.94748048,3244,"0",2556.04,27480.4761904762,802.337362856046,1,1,3892,298,175,87.5
"33066",68.57142857,107,"1",1114.17393518519,16865.2,21.9148936170213,0.126047603084143,4,123,9,6,0
"33067",83.80102041,2118,"1",1187.875,17894.2857142857,525.089148815527,0.138451223600402,4,2498,119,169,0
"33068",57.89473684,84,"1",1576,19495.786321028,10,0.140797854508884,4,91,8,5,0
"33069",86.72029976,22457,"0",2917.9861878453,23610.6666666667,5736.3307798292,1,1,25857,1601,1381,87.5
"33070",75.6097561,235,"1",2044.83333333333,22221.4285714286,61.9984076433121,0.0898424404961448,4,279,9,15,0
"33071",83.46883469,949,"1",1336.71428571429,19023.9130434783,298.227312022124,0.0965471002346631,2,1132,43,105,0
"33072",65.93406593,173,"1",1250,17952.8571428571,36.814479638009,0.140797854508884,4,202,9,3,0
"33073",77.25225225,1305,"1",1155.14285714286,17864.7619047619,399.837077401184,0.131746563861884,3,1545,67,80,0
"33074",79.16666667,148,"1",570,19021.9607843137,35.8838383838384,0.140797854508884,4,175,12,6,0
"33075",88.94623656,10613,"0",2796.07575757576,22616,2771.24544831263,1,1,12380,782,823,87.5
"33076",82.92682927,630,"1",1174.22222222222,20430,165,0.140797854508884,4,722,38,20,0
"33077",89.66074313,1436,"1",1958.72222222222,21478.0952380952,268.682105263158,0.131411330874958,3,1712,83,70,0
"33078",81.94444444,337,"1",1478.14285714286,20788.5,76.1099365750529,0.0965471002346631,2,409,17,12,0
"33079",84.375,246,"1",2168,22410,67.5438596491228,0.137110291652699,4,294,16,10,0
"33080",89.14849429,4404,"0",2390.5625,21620,1202.68493035551,1,1,5304,411,275,87.5
"33081",86.23853211,2365,"0",1648.2380952381,17719,544.960129019684,0.124371438149514,4,2699,121,217,12.5
"33082",86.4265928,885,"1",1606.8,22263.3333333333,193.302175664787,0.107274555816292,4,1046,65,29,0
"33083",86.50137741,770,"1",1945.5,24216,258.636588770918,0.0811263828360711,3,890,50,30,0
"33084",79.33194154,1145,"0",2150.375,22976.1538461538,302.92887699165,1,1,1336,71,67,12.5
"33085",85.13824885,2089,"0",2458.11538461538,24954.2857142857,594.218051319734,1,1,2454,117,135,87.5
"33086",82.9787234,253,"1",1409.33333333333,20259.2307692308,51.2972972972973,0.0965471002346631,2,310,17,14,0
